Road Name,Number of Contracts,Total Length of Works (Km),Condition Category
Z3704,3,10.9,C
Z3004,0,0.0,A
Z7718,0,0.0,A
Z3033,0,0.0,A
R546,0,0.0,A
Z7552,0,0.0,A
Z1060,0,0.0,A
Z8055,0,0.0,A
Z5501,0,0.0,A
Z6856,0,0.0,A
Z8062,0,0.0,A
R814,0,0.0,A
Z5029,0,0.0,A
Z1057,0,0.0,A
Z4609,0,0.0,A
Z1616,0,0.0,A
Z8037,0,0.0,A
Z1002,0,0.0,A
Z1035,0,0.0,A
R685,0,0.0,A
Z5554,0,0.0,A
Z6803,2,5.26,C
Z1121,0,0.0,A
R745,1,5.03,C
R772,0,0.0,A
Z7004,0,0.0,A
Z1083,0,0.0,A
R151,0,0.0,A
Z8910,0,0.0,A
Z7610,0,0.0,A
R604,2,2.2,B
Z6030,0,0.0,A
Z1806,0,0.0,A
R710,8,24.12,D
Z7704,0,0.0,A
Z8804,0,0.0,A
Z1440,0,0.0,A
Z4622,0,0.0,A
Z5409,0,0.0,A
Z4615,0,0.0,A
Z5035,0,0.0,A
Z8203,1,23.89,D
Z2834,0,0.0,A
N703,0,0.0,A
Z8049,0,0.0,A
Z1201,0,0.0,A
Z5002,0,0.0,A
N120,0,0.0,A
Z5621,0,0.0,A
Z1422,5,15.81,D
Z1415,0,0.0,A
Z5616,0,0.0,A
N408,0,0.0,A
Z8420,0,0.0,A
Z1029,0,0.0,A
Z5060,0,0.0,A
Z8204,0,0.0,A
Z2804,0,0.0,A
Z5032,0,0.0,A
Z1206,0,0.0,A
Z5005,0,0.0,A
N704,0,0.0,A
Z1447,0,0.0,A
Z6818,3,1.2,B
Z8504,0,0.0,A
Z5050,0,0.0,A
Z1019,0,0.0,A
Z1425,0,0.0,A
N127,0,0.0,A
N110,0,0.0,A
Z1412,1,2.0,B
Z5611,0,0.0,A
Z7408,0,0.0,A
Z2049,0,0.0,A
R720,0,0.0,A
Z7703,0,0.0,A
Z8803,0,0.0,A
Z1084,0,0.0,A
R603,0,0.0,A
Z7617,0,0.0,A
R161,0,0.0,A
Z1611,0,0.0,A
Z5019,0,0.0,A
Z8052,0,0.0,A
Z6851,0,0.0,A
N207,2,21.23,C
Z1050,0,0.0,A
Z7489,0,0.0,A
Z8065,0,0.0,A
R813,0,0.0,A
Z1439,0,0.0,A
Z1126,0,0.0,A
Z1005,0,0.0,A
N507,0,0.0,A
Z5553,0,0.0,A
Z1032,0,0.0,A
R682,0,0.0,A
Z3617,0,0.0,A
Z2123,0,0.0,A
Z3703,0,0.0,A
Z5801,0,0.0,A
R241,0,0.0,A
Z2037,0,0.0,A
Z1098,0,0.0,A
Z3003,1,0.5,B
Z5854,1,11.25,C
Z2055,0,0.0,A
Z3034,2,4.8,B
Z2044,0,0.0,A
Z1482,3,1.44,B
R550,0,0.0,A
Z3025,3,7.477,C
Z3012,0,0.0,A
Z1089,0,0.0,A
Z7467,0,0.0,A
R311,0,0.0,A
R250,0,0.0,A
Z2011,0,0.0,A
Z3712,0,0.0,A
Z5904,1,1.21,B
Z7405,0,0.0,A
R860,3,7.09,C
N516,0,0.0,A
Z8021,0,0.0,A
Z5456,0,0.0,A
N402,0,0.0,A
Z8209,0,0.0,A
Z1041,0,0.0,A
Z8716,1,6.98,C
Z2809,0,0.0,A
R802,0,0.0,A
N4,2,13.21,C
Z8043,0,0.0,A
Z5008,0,0.0,A
N709,0,0.0,A
Z1076,0,0.0,A
Z1637,0,0.0,A
Z8602,0,0.0,A
N302,2,9.0,C
Z5403,0,0.0,A
Z7606,0,0.0,A
R170,0,0.0,A
R147,3,5.0,B
Z1095,0,0.0,A
Z6011,0,0.0,A
Z7047,0,0.0,A
Z3039,0,0.0,A
Z6026,2,2.0,B
R112,0,0.0,A
Z7106,0,0.0,A
Z7012,0,0.0,A
N101,0,0.0,A
Z1403,0,0.0,A
Z1434,0,0.0,A
Z8401,2,1.69,B
Z4017,0,0.0,A
Z1008,0,0.0,A
Z5041,0,0.0,A
Z6809,0,0.0,A
Z4020,0,0.0,A
Z4603,2,8.0,C
Z5014,0,0.0,A
N715,0,0.0,A
Z2822,1,21.04,C
Z1220,0,0.0,A
Z5023,2,4.63,B
N407,0,0.0,A
Z5464,0,0.0,A
Z1132,0,0.0,A
Z5212,0,0.0,A
N513,0,0.0,A
Z5058,0,0.0,A
Z6810,0,0.0,A
Z1026,0,0.0,A
Z5406,0,0.0,A
Z1605,0,0.0,A
Z8607,0,0.0,A
N213,0,0.0,A
Z8713,1,13.88,C
Z1044,7,3.2,D
N1,0,0.0,A
R314,1,1.1,B
Z2041,0,0.0,A
R555,0,0.0,A
Z3603,0,0.0,A
Z5901,2,1.05,B
Z2014,0,0.0,A
Z3042,0,0.0,A
Z5044,0,0.0,A
Z4025,0,0.0,A
Z4012,0,0.0,A
Z8038,0,0.0,A
R281,0,0.0,A
Z8404,0,0.0,A
N104,47,60.25,D
Z2810,0,0.0,A
Z5026,0,0.0,A
Z5011,2,3.35,B
N710,0,0.0,A
N604,0,0.0,A
Z1619,0,0.0,A
Z4606,0,0.0,A
Z7042,0,0.0,A
R549,0,0.0,A
Z6023,0,0.0,A
N808,0,0.0,A
Z7717,0,0.0,A
Z6014,0,0.0,A
R142,1,2.0,B
Z7603,0,0.0,A
R249,0,0.0,A
Z2008,0,0.0,A
R120,0,0.0,A
Z2403,0,0.0,A
R770,2,0.88,B
Z7006,0,0.0,A
R747,0,0.0,A
