LRPName,avg_flood_score
LRP094a,0.16666666666666666
LRP094b,0.2222222222222222
LRP094c,0.0
LRP095a,0.3333333333333333
LRP095b,0.0
LRP095c,0.0
LRP096a,0.19047619047619047
LRP096b,0.0
LRP096c,0.0
LRP097a,0.15151515151515152
LRP097b,0.3333333333333333
LRP098a,0.20833333333333334
LRP098b,0.0
LRP098c,0.6666666666666666
LRP099a,0.3333333333333333
LRP099b,0.0
LRP100a,0.3333333333333333
LRP100b,0.19999999999999998
LRP101a,0.26666666666666666
LRP101c,0.0
LRP102a,0.5
LRP102c,0.6666666666666666
LRP103a,0.3666666666666667
LRP103b,0.2222222222222222
LRP103c,0.6666666666666666
LRP104a,0.2962962962962963
LRP104c,0.3333333333333333
LRP105a,0.26666666666666666
LRP105b,0.0
LRP105d,0.0
LRP106a,0.26666666666666666
LRP106b,0.3333333333333333
LRP107a,0.4166666666666667
LRP107b,0.0
LRP108a,0.2777777777777778
LRP108b,0.25
LRP109a,0.3333333333333333
LRP109b,0.3333333333333333
LRP109c,0.16666666666666666
LRP110a,0.20833333333333334
LRP110b,0.6666666666666666
LRP110c,0.0
LRP110d,0.0
LRP111a,0.3333333333333333
LRP111b,0.5
LRP111c,0.3333333333333333
LRP111d,0.6666666666666666
LRP111e,0.3333333333333333
LRP111f,0.3333333333333333
LRP112a,0.2777777777777778
LRP112b,0.5
LRP113a,0.2777777777777778
LRP113b,0.1111111111111111
LRP114a,0.39999999999999997
LRP114b,0.6666666666666666
LRP114c,0.6666666666666666
LRP114e,0.0
LRP115a,0.40740740740740744
LRP115b,0.16666666666666666
LRP115c,0.3333333333333333
LRP116a,0.3333333333333333
LRP116b,0.3333333333333333
LRP116c,0.3333333333333333
LRP116d,0.1111111111111111
LRP117a,0.5
LRP117b,0.0
LRP118a,0.5333333333333333
LRP118b,0.3333333333333333
LRP119a,0.5555555555555556
LRP119b,0.1111111111111111
LRP120a,0.5
LRP120b,0.6666666666666666
LRP121a,0.4166666666666667
LRP121b,0.16666666666666666
LRP122a,0.3333333333333333
LRP122b,0.3333333333333333
LRP123a,0.5333333333333333
LRP123b,0.6666666666666666
LRP123c,0.6666666666666666
LRP124a,0.5
LRP125a,0.4761904761904762
LRP125b,0.3333333333333333
LRP125c,0.3333333333333333
LRP126a,0.4666666666666666
LRP126b,0.3333333333333333
LRP127a,0.5
LRP127b,0.5555555555555556
LRP128a,0.39999999999999997
LRP128b,0.3333333333333333
LRP129a,0.4583333333333333
LRP129b,0.5555555555555556
LRP129c,0.3333333333333333
LRP129d,0.3333333333333333
LRP129e,0.3333333333333333
LRP130a,0.3703703703703704
LRP130b,0.3333333333333333
LRP130c,0.4444444444444444
