road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc,cleaned_name,LR_indicator,is_on_land,is_connected_to_road
N1,142.793,Slab Culvert,LRP143a,DEBIPUR SLAB CULVERT,1.6,A,101228,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,142.793,12.5,1970.0,1.0,Comilla,Noakhali,Feni,Feni-1,23.0295555555555,91.3655833333333,bcs1,DEBIPUR SLAB CULVERT,,True,True
N1,144.939,Box Culvert,LRP145a,CHARIPUR CULVERT.,3.4,A,101232,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,144.939,13.8,1981.0,1.0,Comilla,Noakhali,Feni,Feni-1,23.01425,91.3759722222222,bcs1,CHARIPUR CULVERT,,True,True
N1,148.151,RCC Girder Bridge,LRP149a,RAMPUR BRIDGE,23.4,A,101234,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,148.151,12.4,1986.0,3.0,Comilla,Noakhali,Feni,Feni-1,22.9961666666666,91.4004166666666,bcs1,RAMPUR BRIDGE,,True,True
N1,158.031,Box Culvert,LRP159a,FAZAILPUR BOXCULVERT,1.5,A,101241,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,158.031,10.3,1984.0,1.0,Comilla,Noakhali,Feni,Feni-1,22.9484444444444,91.4781388888888,bcs1,FAZAILPUR BOXCULVERT,,True,True
N1,165.183,PC Girder Bridge,LRP166a,DumGhat Bridge(L),222.43,A,121146,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,165.183,11.12,1974.0,7.0,Comilla,Noakhali,Feni,Feni-1,22.9155555555555,91.5252777777777,bcs1,DUMGHAT BRIDGE,L,True,True
N1,166.479,Slab Culvert,LRP167a,BOROYAR PARA SLUB CULVERT,3.0,A,101278,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,166.479,12.4,1999.0,1.0,Comilla,Noakhali,Feni,Feni-1,22.9050277777777,91.5312222222222,bcs1,BOROYAR PARA SLUB CULVERT,,True,True
N1,167.963,Box Culvert,LRP169a,BAROYARHAT BOX CULVERT,3.0,A,101236,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,167.963,12.5,1990.0,1.0,Comilla,Noakhali,Feni,Feni-1,22.8922777777777,91.5353055555555,bcs1,BAROYARHAT BOX CULVERT,,True,True
N1,169.933,Box Culvert,LRP171a,UTTOR SONAPAR BOX CULVERT,4.3,A,101239,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,169.933,12.5,1991.0,2.0,Comilla,Noakhali,Feni,Feni-1,22.8751944444444,91.5406666666666,bcs1,UTTOR SONAPAR BOX CULVERT,,True,True
N1,170.174,Box Culvert,LRP171b,CHAIRMEN BARI BOX CULVERT,2.0,A,101240,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,170.174,10.3,1985.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.8731666666666,91.5414166666666,bcs1,CHAIRMEN BARI BOX CULVERT,,True,True
N1,170.725,Box Culvert,LRP171c,MADDAM SONAPAR(1) BOX CULVERT,1.5,A,101242,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,170.725,12.5,1988.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.8684166666666,91.5431111111111,bcs1,MADDAM SONAPAR BOX CULVERT,L,True,True
N1,172.122,Box Culvert,LRP173a,MAMAFOUN ASTANA CULVERT,1.5,A,101243,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,172.122,12.5,1988.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.8561666666666,91.5456944444444,bcs1,MAMAFOUN ASTANA CULVERT,,True,True
N1,172.23,Slab Culvert,LRP173b,MAMAFAKIR ASTANA SLAB CULVERT,1.5,A,101244,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,172.23,12.5,1993.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.8551388888888,91.54575,bcs1,MAMAFAKIR ASTANA SLAB CULVERT,,True,True
N1,172.969,Box Culvert,LRP174a,MASTANNAGOR BONCUL(1),8.5,A,101249,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,172.969,12.4,1996.0,2.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.8485555555555,91.5463333333333,bcs1,MASTANNAGOR BONCUL,L,True,True
N1,173.35,Box Culvert,LRP174b,MUSTAU NOGAR(2),3.0,A,101251,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,173.35,12.5,1993.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.84525,91.5474722222222,bcs1,MUSTAU NOGAR,R,True,True
N1,173.585,Box Culvert,LRP174c,MASTARI HAGOR 3 CULVERT,1.5,A,100547,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,173.585,12.5,1992.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.8432777777777,91.5481666666666,bcs1,MASTARI HAGOR 3 CULVERT,,True,True
N1,173.859,Box Culvert,LRP175a,MUSTAN NAGAR -4,3.0,A,100552,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,173.859,12.5,1992.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.8409166666666,91.5488888888888,bcs1,MUSTAN NAGAR -4,,True,True
N1,179.363,Box Culvert,LRP181a,MIRSARAI BOX CUL,4.5,A,100557,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,179.363,12.2,1988.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.7934444444444,91.5632222222222,bcs1,MIRSARAI BOX CUL,,True,True
N1,181.825,Box Culvert,LRP183b,Mirsorai(2) box culvert,6.0,A,100576,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,181.825,12.1,1985.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.7733055555555,91.5733055555555,bcs1,MIRSORAI BOX CULVERT,R,True,True
