,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRP064a,64.298,"Side Road, Left",Z 7411 Bherammara,24.0201382,89.0156944,,N704.lrps.htm
,LRP065,64.563,Km Post,Info missing,24.0224993,89.0161667,,N704.lrps.htm
,LRP065a,65.415,Culvert,Box Culvert,24.0301938,89.0170549,,N704.lrps.htm
,LRP065b,65.519,Culvert,Box culvert,24.0309438,89.0168049,,N704.lrps.htm
,LRP066,65.563,Km Post,Info missing,24.0312771,89.016666,,N704.lrps.htm
,LRP066a,65.682,Culvert,Box Culvert,24.0323327,89.0161667,,N704.lrps.htm
,LRP066b,66.468,Bridge,R.c.c Bridge start,24.0386941,89.0130278,,N704.lrps.htm
,LRP066c,66.534,Bridge,R.C.C Bridge end,24.0394163,89.01275,,N704.lrps.htm
,LRP066d,66.549,Rail Road Crossing,Rail road crossing,24.0393608,89.0126667,,N704.lrps.htm
,LRP067,66.623,Km Post,Pabna 35 km Rajshahi 105 km,24.0399719,89.0123889,,N704.lrps.htm
,LRP067a,66.675,"Side Road, Left",Z 7409 Bhreamara rail station,24.0404441,89.01225,,N704.lrps.htm
,LRP068,67.623,Km Post,Km post missing,24.0491108,89.0129444,,N704.lrps.htm
,LRP068a,68.308,Culvert,Box Culvert,24.0548889,89.0140556,,N704.lrps.htm
,LRP069,68.593,Km Post,Lalon sha 1 km Pabna 33 km,24.05725,89.0147222,,N704.lrps.htm
,LRP069a,69.163,Round About,Lalon sha Bridge Bherama portion,24.0619444,89.0170549,,N704.lrps.htm
,LRP070,69.499,Km Post,Pasna32 km Rajshahi 102 km,24.0625556,89.0198882,,N704.lrps.htm
,LRP070a,69.719,Bridge,Lalon sha Bridge start,24.0631667,89.021916,,N704.lrps.htm
,LRP071,70.499,Km Post,Km post missing,0,0,,N704.lrps.htm
,LRP071a,71.539,Bridge,Lalon shah Brideg end,24.0679438,89.0389997,,N704.lrps.htm
,LRP072,71.54,Km Post,Dasuria 10 km Lshwaridi 15 km,24.0683327,89.0404163,,N704.lrps.htm
,LRP072a,72.157,Culvert,Box Culvert,24.0704716,89.0463608,,N704.lrps.htm
,LRP073,72.488,Km Post,Banpara 32 km Dhaka 230 km,24.0712216,89.0493886,,N704.lrps.htm
,LRP073a,72.712,Cross Road,R 603,24.0717493,89.0515556,,N704.lrps.htm
,LRP074,73.502,Km Post,Natore 49 km Rajshahi 98 km,24.0736382,89.0589167,,N704.lrps.htm
,LRP074a,74.274,"Side Road, Left",N 705 to lshwardi town old stion,24.0756938,89.0661667,,N704.lrps.htm
,LRP074b,74.394,Culvert,Box Culvert,24.0754438,89.0673327,,N704.lrps.htm
,LRP075,74.502,Km Post,Bonpara 30 km Sirajganj 100 km,24.0753604,89.0684438,,N704.lrps.htm
,LRP075a,74.604,Culvert,Box Culvert,24.0753049,89.069416,,N704.lrps.htm
