road,id,model_type,condition,name,lat,lon,length
N2,1007512,link,Z,Bridge end,25.0293882,92.0720271,473.81671901594075
N2,1007513,link,Z,Jaintapur 13 km,25.0324438,92.0753049,1028.4640092815966
N2,1007514,bridge,B,Damri Bridge,25.0372252050968,92.0833473986748,55.5
N2,1007515,bridge,A,DAMRI RCC GIDER BRIDGE,25.0372252050968,92.0833473986748,55.8
N2,1007516,link,Z,Bridge end,25.0375274,92.083833,8.943360687443237
N2,1007517,link,Z,Tamabil 25 km,25.0375552,92.0839163,960.2145935993764
N2,1007518,link,Z,Jaflong 28 km,25.0433886,92.0909441,1002.5524947660458
N2,1007519,bridge,A,DIGIR PAR,25.0477883214484,92.0958326793871,12.4
N2,1007520,link,Z,Jaintapur 10 km,25.0497219,92.0980274,988.2143466093285
N2,1007521,bridge,A,DAMA BOX CULVERT,25.0529755195804,92.1015661610722,6.1
N2,1007522,bridge,A,SRIKAL BOX CULVERT,25.0550106020979,92.1037795946387,9.1
N2,1007523,link,Z,Km post missing,25.0561944,92.10475,1009.133191883744
N2,1007524,bridge,A,borbos bazer,25.0586850830769,92.106074796923,9.1
N2,1007525,link,Z,Jaflong 25 km,25.0643889,92.1090556,128.8407911700463
N2,1007526,link,Z,Road to Kanaighat (Z2011),25.0654444,92.1095833,287.5806654734239
N2,1007527,bridge,B,Darbast Bazar Bridge,25.0675549,92.1106389,21.75
N2,1007528,bridge,A,borbos bazer,25.0675549,92.1106389,22.0
N2,1007529,link,Z,Bridge end,25.0678049,92.11075,584.3271966220449
N2,1007530,link,Z,Jaintapur 7 km,25.0728604,92.1123333,1004.9090580014566
N2,1007531,bridge,A,DORPOS SUBMARCH,25.0766582960199,92.1135224439801,3.0
N2,1007532,link,Z,Km post broken,25.0815549,92.1150556,183.11450628750637
N2,1007533,bridge,A,SARI GHAT,25.0828494919753,92.1154439123456,21.4
N2,1007534,bridge,A,Sari Ghat Bridge,25.0828494919753,92.1154439123456,21.45
N2,1007535,link,Z,Bridge end,25.0831382,92.1155556,695.3342008287319
N2,1007536,link,Z,Road to Gowainghat (Z2012),25.0891386,92.1174993,107.3698064541033
N2,1007537,link,Z,Jaflong 22 km,25.0900274,92.117916,420.155939675518
N2,1007538,bridge,B,Sari Ghat Bridge,25.0918993080851,92.1178653685106,190.5
N2,1007539,bridge,A,SARIGHUT BRIDGE,25.0918993080851,92.1178653685106,190.5
N2,1007540,link,Z,Bridge end,25.0938052,92.1178327,583.7800768695829
N2,1007541,link,Z,Jaintapur 4 km,25.0990552,92.1178049,471.2467417604272
N2,1007542,bridge,B,ERABOTY,25.1029213910714,92.1184266866071,26.0
N2,1007543,bridge,A,Eraboty Bridge,25.1029213910714,92.1184266866071,26.0
N2,1007544,link,Z,Bridge end,25.10325,92.1184716,535.0894194499549
N2,1007545,link,Z,Jaintapur 3 km,25.1080556,92.1187493,998.5886723965041
N2,1007546,bridge,A,SUBMARGE CULVERT,25.1081533094059,92.1187541410891,3.0
N2,1007547,link,Z,Jaflong 19 km,25.1170271,92.1191938,1043.7174175676407
N2,1007548,bridge,A,BORO GUNG STEEL BEAM AND RCC SLAB,25.1249710101538,92.116456976,87.2
N2,1007549,bridge,A,Boro Gung Bridge,25.1249710101538,92.116456976,87.5
N2,1007550,link,Z,Bridge end,25.1260271,92.11625,13.562687822101873
N2,1007551,link,Z,Jaintapur 1 km,25.1261382,92.1161944,537.5504836260654
N2,1007552,bridge,A,Lamapara Bridge,25.1294521534883,92.1194551408637,26.0
N2,1007553,bridge,A,LAMAPARA BRIGE,25.1294521534883,92.1194551408637,26.0
N2,1007554,link,Z,Bridge end,25.1298327,92.1196382,236.715693891583
N2,1007555,bridge,A,chuna hati,25.1313478931506,92.1201892168949,21.8
N2,1007556,bridge,A,Chuna Hati Bridge,25.1313478931506,92.1201892168949,22.0
N2,1007557,link,Z,Bridge end,25.1318327,92.1204438,16.66442084865829
N2,1007558,link,Z,Tamabil 13 km,25.1319438,92.1205549,780.8248873324563
N2,1007559,link,Z,Tamabil 11 km,25.1367219,92.1175827,1627.6839899610595
N2,1007560,bridge,A,CHING GIL STEEL BEAM AND RCC SLAB,25.1380087150862,92.1200254556034,79.0
N2,1007561,bridge,A,Ching Gil Bridge,25.1380087150862,92.1200254556034,79.0
N2,1007562,link,Z,Bridge end,25.1389441,92.1199438,25.753483067803526
N2,1007563,link,Z,Jaflong 16 km,25.1391386,92.1198049,210.0436196529599
N2,1007564,bridge,A,MUKTTAR PUR RCC GIDER BRIDGE,25.1403573876923,92.1197852261538,14.4
N2,1007565,bridge,A,Mukterpur Bridge,25.1403573876923,92.1197852261538,14.5
N2,1007566,link,Z,Bridge end,25.1410274,92.1197771,527.2528059443163
N2,1007567,bridge,B,BILAY MORE STEEL BEAM AND RCC SLAB,25.1489450385852,92.1131659401929,63.5
N2,1007568,bridge,A,Bilay More Bridge,25.1489450385852,92.1131659401929,63.5
N2,1007569,link,Z,Bridge end,25.150493612433863,92.1121021089947,315.3178343232491
N2,1007570,link,Z,Jaflong 14 km,25.1516667,92.10925,140.32520558166448
N2,1007571,bridge,A,Rang Pani Bridge,25.1519097416666,92.1089375,47.5
N2,1007572,bridge,A,RANG PANI STEEL BEAM AND RCC SLAB,25.1519097416666,92.1089375,47.5
N2,1007573,link,Z,Bridge end,25.1526389,92.1083611,174.98514451476206
N2,1007574,bridge,A,RANG PASI,25.153291990625,92.10774235,17.0
N2,1007575,bridge,A,Rang Pasi Bridge,25.153291990625,92.10774235,17.0
N2,1007576,link,Z,Bridge end,25.1538056,92.1071944,216.9312629705009
N2,1007577,bridge,C,Rang Pasi Bridge,25.1543902117647,92.1061712636363,36.5
N2,1007578,bridge,B,RANG PASI,25.1543902117647,92.1061712636363,37.6
N2,1007579,link,Z,Bridge end,25.1549444,92.1054444,452.053631350604
N2,1007580,link,Z,Tamabil 9 km,25.1575833,92.1020278,319.54120343487835
N2,1007581,bridge,A,Bangla Bazar Bridge,25.1585738257142,92.1006246171428,81.0
N2,1007582,bridge,A,BANGLA BAZAR,25.1585738257142,92.1006246171428,81.0
N2,1007583,bridge,A,Bangla Bazar Bridge,25.1585738257142,92.1006246171428,81.0
N2,1007584,link,Z,Bridge end,25.1594167,92.099583,654.0632611140379
N2,1007585,sourcesink,Z,Box culvert,25.15975,92.0174716,300.0724570205466
N2,1007586,link,Z,Bridge end,25.1609722,92.0173327,136.6195506251146
N2,1007587,link,Z,Bridge start,25.1613333,92.0172771,40.54054145269884
N2,1007588,link,Z,Jaflong 1  km,25.1628889,92.0171104,173.7865579345592
N2,1007589,bridge,B,Asum Bazar Bridge,25.1640035167173,92.0963799218845,36.5
N2,1007590,bridge,A,ASUM BAZAR,25.1640035167173,92.0963799218845,36.7
N2,1007591,link,Z,Jaflong 12 km,25.1643889,92.0961108,59.48584213580786
N2,1007592,link,Z,Bridge end,25.1648611,92.095833,899.8282022472628
N2,1007593,link,Z,Box culvert,25.1651389,92.0182771,276.37207805853734
N2,1007594,link,Z,Box culvert,25.1679438,92.0179993,313.1412022554846
N2,1007595,link,Z,Km post broken,25.1700549,92.0163889,285.2547995193702
N2,1007596,bridge,A,.,25.1710493298701,92.0187264584415,5.0
N2,1007597,link,Z,Tamabil 7 km,25.1712216,92.0903052,925.167095231966
N2,1007598,bridge,A,.,25.1719930100278,92.0200653771587,40.0
N2,1007599,link,Z,Jaflong 3 km,25.173416,92.0227771,743.6222344073777
N2,1007600,link,Z,Jaflong 10 km,25.1736938,92.0815271,963.4892921676122
N2,1007601,bridge,A,.,25.1738720003125,92.0243239025,5.0
N2,1007602,bridge,A,.,25.1756381878378,92.0272605002252,3.5
N2,1007603,link,Z,Km post broken,25.1761104,92.0723327,968.9924933642801
N2,1007604,link,Z,Bridge end,25.1762493,92.0539722,862.6889522780583
N2,1007605,bridge,A,Noljuri Bridge,25.1766924977528,92.0548542224719,24.5
N2,1007606,bridge,A,NOLJURI,25.1766924977528,92.0548542224719,24.5
N2,1007607,link,Z,Tamabil 3 km,25.1767493,92.0549722,114.96866743088486
N2,1007608,link,Z,Bridge end,25.1770549,92.0555,63.0533855876678
N2,1007609,bridge,A,NOLJURI,25.1774750914317,92.0565114738444,39.5
N2,1007610,bridge,A,Noljuri Bridge,25.1774750914317,92.0565114738444,39.5
N2,1007611,link,Z,Jaflong 6 km,25.1777216,92.0455552,981.0280037779804
N2,1007612,link,Z,Jaflong 4 km,25.1779438,92.0284716,762.8022126565277
N2,1007613,bridge,A,.,25.1779677792968,92.0283203398437,7.0
N2,1007614,bridge,A,.,25.1784840050434,92.0299482456521,6.5
N2,1007615,bridge,A,.,25.1798028154782,92.0335532021739,2.0
N2,1007616,bridge,A,.,25.1800310711304,92.0341771369565,3.5
N2,1007617,link,Z,Jaflong 8 km,25.1801104,92.0637778,899.6182979113214
N2,1007618,bridge,A,.,25.1805371036,92.0373825433,3.5
N2,1007619,link,Z,Km post missing,25.1808604,92.0364441,865.3373956361064
N204,1007620,link,Z,Km post missing,24.1235271,91.4156111,959.0707428491488
N204,1007621,link,Z,Bridge start,24.1241104,91.4125278,16.907136773118786
N204,1007622,link,Z,Bridge end,24.1241104,91.4126944,303.0202137240152
N204,1007623,bridge,B,20 NOVEMBER AMTOLI,24.1243226673913,91.4118574967391,9.5
N204,1007624,link,Z,Box culvert,24.125166,91.4091944,358.0685907958338
N204,1007625,link,Z,Km post missing,24.1252216,91.4061944,304.51043100386033
N204,1007626,link,Z,Km post missing,24.1265271,91.4244716,630.8208249722934
N204,1007627,link,Z,Box culvert,24.1269438,91.4428886,392.118259552247
N204,1007628,link,Z,Km post missing,24.1269716,91.4427774,11.700435457515052
N204,1007629,bridge,A,SATH SARI,24.1269881471783,91.4423497656884,24.8
N204,1007630,link,Z,Hobiganj 27 km,24.1272493,91.3971386,946.2528499897319
N204,1007631,link,Z,Km post missing,24.1272493,91.4514444,93.53175957727305
N204,1007632,bridge,A,CHANTRI CHARA CULVERTR,24.1273411472222,91.4517330222222,6.0
N204,1007633,bridge,A,CHAKLA PUNGI,24.1274120811235,91.4458047247191,2.8
N204,1007634,link,Z,Box Culvert,24.1274716,91.4523333,236.44188496483858
N204,1007635,link,Z,Box Culvert,24.1275549,91.4466941,483.2604562192036
N204,1007636,link,Z,Box culvert,24.1279438,91.4640278,243.13307465180173
N204,1007637,bridge,A,CHANDRI CULVERT,24.1279958833333,91.4638946958333,1.65
N204,1007638,link,Z,Information missing,24.1281104,91.4545556,896.4530885897807
