road,avg_flood_score,closest_flood_category
Z5202,0.0,Not Flood Prone
Z5207,0.0,Not Flood Prone
Z5209,1.837837837837838,Moderate River Flooding
Z5210,0.234375,Not Flood Prone
Z5211,2.066666666666667,Moderate River Flooding
Z5301,1.2,Severe River Flooding
Z5401,1.8741258741258742,Moderate River Flooding
Z5402,1.8,Moderate River Flooding
Z5403,1.793103448275862,Moderate River Flooding
Z5404,2.0,Moderate River Flooding
Z5405,2.0,Moderate River Flooding
Z5406,1.7714285714285714,Moderate River Flooding
Z5408,2.0,Moderate River Flooding
Z5409,2.0,Moderate River Flooding
Z5410,1.8918918918918919,Moderate River Flooding
Z5452,1.0,Severe River Flooding
Z5456,1.1511627906976745,Severe River Flooding
Z5463,1.826086956521739,Moderate River Flooding
Z5464,3.0,Low River Flooding
Z5467,0.0,Not Flood Prone
Z5469,0.0,Not Flood Prone
Z5471,0.0,Not Flood Prone
Z5472,0.0,Not Flood Prone
Z5476,3.0,Low River Flooding
Z5501,1.5555555555555556,Moderate River Flooding
Z5503,0.967741935483871,Severe River Flooding
Z5504,3.0,Low River Flooding
Z5505,0.64,Severe River Flooding
Z5507,2.0,Moderate River Flooding
Z5508,0.0,Not Flood Prone
Z5509,0.1,Not Flood Prone
Z5551,2.769230769230769,Low River Flooding
Z5552,2.0,Moderate River Flooding
Z5553,2.903225806451613,Low River Flooding
Z5554,2.0,Moderate River Flooding
Z5555,2.1818181818181817,Moderate River Flooding
Z5558,3.0,Low River Flooding
Z5559,3.0,Low River Flooding
Z5561,0.0,Not Flood Prone
Z5611,0.3235294117647059,Not Flood Prone
Z5612,0.1111111111111111,Not Flood Prone
Z5613,2.27027027027027,Moderate River Flooding
Z5614,1.1666666666666667,Severe River Flooding
Z5616,2.1551724137931036,Moderate River Flooding
Z5617,2.35,Moderate River Flooding
Z5621,2.810126582278481,Low River Flooding
Z5622,1.9583333333333333,Moderate River Flooding
Z5623,2.090909090909091,Moderate River Flooding
Z5624,1.9043478260869566,Moderate River Flooding
Z5701,0.0,Not Flood Prone
Z5703,0.0,Not Flood Prone
Z5704,0.0,Not Flood Prone
Z5706,0.0,Not Flood Prone
Z5707,0.0,Not Flood Prone
Z5709,0.0,Not Flood Prone
Z5801,0.0,Not Flood Prone
Z5802,1.2,Severe River Flooding
Z5803,2.823529411764706,Low River Flooding
Z5804,2.88,Low River Flooding
Z5851,0.0,Not Flood Prone
Z5852,2.0,Moderate River Flooding
Z5854,0.0,Not Flood Prone
Z5855,0.45714285714285713,Not Flood Prone
Z5856,0.5842696629213483,Severe River Flooding
Z5857,0.0,Not Flood Prone
Z5858,0.0,Not Flood Prone
Z5901,0.3870967741935484,Not Flood Prone
Z5902,0.0,Not Flood Prone
Z5903,0.0,Not Flood Prone
Z5904,0.0,Not Flood Prone
Z5907,0.0,Not Flood Prone
Z6004,0.9193548387096774,Severe River Flooding
Z6005,2.5,Moderate River Flooding
Z6006,2.9133858267716537,Low River Flooding
Z6010,1.8,Moderate River Flooding
Z6011,1.183673469387755,Severe River Flooding
Z6014,2.142857142857143,Moderate River Flooding
Z6015,1.8936170212765957,Moderate River Flooding
Z6017,2.257142857142857,Moderate River Flooding
Z6018,3.0,Low River Flooding
Z6019,2.423076923076923,Moderate River Flooding
Z6020,3.0,Low River Flooding
Z6021,2.0,Moderate River Flooding
Z6022,1.6274509803921569,Moderate River Flooding
Z6023,2.0,Moderate River Flooding
Z6024,2.4,Moderate River Flooding
Z6026,2.2,Moderate River Flooding
Z6027,2.0,Moderate River Flooding
Z6028,2.0,Moderate River Flooding
Z6029,2.0555555555555554,Moderate River Flooding
Z6030,2.3181818181818183,Moderate River Flooding
Z6031,2.327272727272727,Moderate River Flooding
Z6032,0.0,Not Flood Prone
Z6033,2.0,Moderate River Flooding
Z6034,2.0,Moderate River Flooding
Z6035,1.6,Moderate River Flooding
Z6802,0.0,Not Flood Prone
Z6803,0.0,Not Flood Prone
Z6805,0.0,Not Flood Prone
Z6806,0.0,Not Flood Prone
Z6809,0.47058823529411764,Not Flood Prone
Z6810,0.0,Not Flood Prone
Z6812,0.0,Not Flood Prone
Z6813,0.0,Not Flood Prone
Z6816,0.0,Not Flood Prone
Z6817,0.0,Not Flood Prone
Z6818,0.25,Not Flood Prone
Z6819,0.0,Not Flood Prone
Z6851,0.0,Not Flood Prone
Z6852,0.0,Not Flood Prone
Z6853,0.0,Not Flood Prone
Z6855,0.09523809523809523,Not Flood Prone
Z6856,0.0,Not Flood Prone
Z7001,2.0,Moderate River Flooding
Z7002,2.0,Moderate River Flooding
Z7004,2.0,Moderate River Flooding
Z7006,2.0,Moderate River Flooding
Z7007,2.0,Moderate River Flooding
Z7008,2.0943396226415096,Moderate River Flooding
Z7011,1.878787878787879,Moderate River Flooding
Z7012,1.9245283018867925,Moderate River Flooding
Z7021,2.3292682926829267,Moderate River Flooding
Z7023,0.9813084112149533,Severe River Flooding
Z7024,3.019230769230769,Low River Flooding
Z7030,1.4852941176470589,Severe River Flooding
Z7031,2.3823529411764706,Moderate River Flooding
Z7040,0.9696969696969697,Severe River Flooding
Z7041,1.0819672131147542,Severe River Flooding
Z7042,2.0,Moderate River Flooding
Z7043,4.486111111111111,Severe Flash Flooding
Z7045,2.0,Moderate River Flooding
Z7047,2.0,Moderate River Flooding
Z7050,3.0,Low River Flooding
Z7054,1.1764705882352942,Severe River Flooding
Z7057,2.324675324675325,Moderate River Flooding
Z7058,3.0,Low River Flooding
