name,avg_flood_score,closest_flood_category
Akira Bridge,0.0,Not Flood Prone
Akrampur Bridge,2.0,Moderate River Flooding
Aktapara Bridge,6.0,Low Flash Flooding
Alam Khali Bridge,2.0,Moderate River Flooding
Alamdanga Bridge,3.0,Low River Flooding
Alamin Bazar Bridge,1.0,Severe River Flooding
Alampur Bridge,2.0,Moderate River Flooding
Aldibazar Bazar,0.0,Not Flood Prone
Aliabad Market,2.0,Moderate River Flooding
Alinagar Bridge,0.0,Not Flood Prone
Alinagar Chowmuhani Bridge,0.0,Not Flood Prone
Alipur Bridge,2.5,Moderate River Flooding
Alipur bridge(L),2.0,Moderate River Flooding
Alipur bridge(R),2.0,Moderate River Flooding
Alirjahal( 2),5.0,Moderate Flash Flooding
Alokdi bridge,3.0,Low River Flooding
Amatatpur Bridge,3.0,Low River Flooding
Ambari Bridge,0.0,Not Flood Prone
Aminnagar Bridge,2.0,Moderate River Flooding
Amira Bridge,1.0,Severe River Flooding
Amirabad Bridge,0.0,Not Flood Prone
Amirbari Bridge,3.0,Low River Flooding
Amirganj Bridge,3.0,Low River Flooding
Amjupi Bridge,3.0,Low River Flooding
Amjupi Bridge.,3.0,Low River Flooding
Amla Bridge,4.5,Severe Flash Flooding
Amla bridge,3.0,Low River Flooding
Amolshid Bridge,2.0,Moderate River Flooding
Amrabaria Bridge,5.0,Moderate Flash Flooding
Amragachia Bazar Bridge,7.0,Severe Tidal Surge
Amragasi Bridge,8.0,Moderate Tidal Surge
Amrakhali Bridge-2,0.0,Not Flood Prone
Amtala Bazar Bridge,8.0,Moderate Tidal Surge
Amtali Bridge,0.0,Not Flood Prone
Amtali Bridge-1,0.0,Not Flood Prone
Amtola Bridge,0.0,Not Flood Prone
Amtoli Bazar,0.0,Not Flood Prone
Amtoli Bridge,6.0,Low Flash Flooding
Amtoli Bridge-2,0.0,Not Flood Prone
Amtoli Bridge-3,0.0,Not Flood Prone
Amtoli Bridge-4,0.0,Not Flood Prone
Amtoli Bridge-5,0.0,Not Flood Prone
Amtoli para RCC Bridge.,0.0,Not Flood Prone
Amtoli para Rcc Bridge-2,0.0,Not Flood Prone
Amtolipara Bridge,0.0,Not Flood Prone
Amuzan Bridge,2.0,Moderate River Flooding
Anakhondo Bailey Bridge,0.0,Not Flood Prone
Anamuk Bridge,2.0,Moderate River Flooding
Ananda Bazar Bridge,2.0,Moderate River Flooding
Anandababur Pool,0.0,Not Flood Prone
Anandapur Choto Bridge,0.0,Not Flood Prone
Anarpara Bridge (L),2.0,Moderate River Flooding
Anarpara Bridge (R),2.0,Moderate River Flooding
Angaria Bridge,2.0,Moderate River Flooding
Angina Bridge,2.0,Moderate River Flooding
Angoria Bondor Bridge,8.0,Moderate Tidal Surge
Angur kata 7 no.Bridge,2.0,Moderate River Flooding
Anupoir Bridge,0.0,Not Flood Prone
Aoddur Bridge,0.0,Not Flood Prone
Aodur bridge,0.0,Not Flood Prone
Aolikhana Bridge,0.0,Not Flood Prone
Aoshosia 1 Bridge,0.0,Not Flood Prone
Aoshosia Bridge,0.0,Not Flood Prone
Apania Bazar Bridge,3.0,Low River Flooding
Aporkhara Bortol Bazar Bridge,2.0,Moderate River Flooding
Arai Khal Bridge.,3.0,Low River Flooding
Araihazar Bridge,0.0,Not Flood Prone
Araillah Bridge,2.0,Moderate River Flooding
Araljuri Bridge,0.0,Not Flood Prone
Arial Kha Bridge,0.0,Not Flood Prone
Ariamohon Bridge,2.0,Moderate River Flooding
Arihazar,0.0,Not Flood Prone
Aripara Goara Bridge,0.0,Not Flood Prone
Arisida Bridge,0.0,Not Flood Prone
Arjundera Bridge.,3.0,Low River Flooding
Arong Bazar Bridge,2.0,Moderate River Flooding
Arozebagi Bridge,7.0,Severe Tidal Surge
Arpara Bridge,3.0,Low River Flooding
Arrakomet Bridge,3.0,Low River Flooding
Asamad Nagarculvert,2.0,Moderate River Flooding
Asampur Bridge,2.0,Moderate River Flooding
Asassuni Bridge.,7.0,Severe Tidal Surge
Ashariachar-2 Bridge.(L),2.0,Moderate River Flooding
Ashariarchar Bridge(L),2.0,Moderate River Flooding
Ashariarchar Bridge(R),2.0,Moderate River Flooding
Asharirchar-2 Bridge.(R),2.0,Moderate River Flooding
Ashulia Bridge-1,3.0,Low River Flooding
Ashulia PC Girder Bridge,3.0,Low River Flooding
Ashulia RCC Girder Bridge,0.0,Not Flood Prone
Ashurighat Bridge,0.0,Not Flood Prone
Asimtola Bridge,3.0,Low River Flooding
Aslam Kamla Bridge,3.0,Low River Flooding
Aslodia Bridge,3.0,Low River Flooding
Aslumpur Bridge,7.0,Severe Tidal Surge
Asokoti bridge,2.0,Moderate River Flooding
Asugia bridge,0.0,Not Flood Prone
Asum Bazar Bridge,4.0,Severe Flash Flooding
Atpara Bridge,0.0,Not Flood Prone
Atrai Bridge,3.0,Low River Flooding
Atrai Bridge (10 no),2.0,Moderate River Flooding
Atrai Bridge.,6.0,Low Flash Flooding
Aynal Bridge,3.0,Low River Flooding
Azadi Bazar Bridge,0.0,Not Flood Prone
Azimpur Bridge,3.0,Low River Flooding
Aziz Nagar Dokhin Para Bridge,5.0,Moderate Flash Flooding
Aziznagar Bridge,5.0,Moderate Flash Flooding
Azizpur Bridge,2.0,Moderate River Flooding
B D R CAMP BRIDGE,0.0,Not Flood Prone
B KHAL 2,3.0,Low River Flooding
B.D.C. BRIDGE,0.0,Not Flood Prone
B.D.R CAMP,5.0,Moderate Flash Flooding
BABLA RCC BRIDGE,3.0,Low River Flooding
BABOKALI,3.0,Low River Flooding
BABOR KHAL,2.0,Moderate River Flooding
BABU CHARA,0.0,Not Flood Prone
BABUCHARA,0.0,Not Flood Prone
BABUCHARA RASTER MATA,0.0,Not Flood Prone
BABUCHHARI CULVERT,0.0,Not Flood Prone
BABUPUR BOX,0.0,Not Flood Prone
BABURPUR BOX CULVERT,3.0,Low River Flooding
BABUTI PARA SLAB CULVERT,3.0,Low River Flooding
BACHAYA BRIDGE,3.0,Low River Flooding
BACK FILD BOX CULVERT,5.0,Moderate Flash Flooding
"BAD,S PUR",2.0,Moderate River Flooding
BADAL PUR,2.0,Moderate River Flooding
BADAR KANDI,0.0,Not Flood Prone
BADARI,0.0,Not Flood Prone
BADARKALI,7.0,Severe Tidal Surge
BADARTOBAZAR BOX CULVERT,7.0,Severe Tidal Surge
BADDU BRIDGE,0.0,Not Flood Prone
BADICHANDI,0.0,Not Flood Prone
BADICHANDI 2,3.0,Low River Flooding
BADIKARA,0.0,Not Flood Prone
BADILILLA BRIDGE,0.0,Not Flood Prone
BADISPUR,2.0,Moderate River Flooding
BADOR NORTH BRIDGE,0.0,Not Flood Prone
BADORPUN BRIDGE,3.0,Low River Flooding
BADSHARA BOX CULVERT,2.0,Moderate River Flooding
BADU BAZAR PC GIDER BRIDGE,3.0,Low River Flooding
BADUBPUR BOX CULVERT,7.0,Severe Tidal Surge
BADUCHARA,0.0,Not Flood Prone
BADUCHORA 2,0.0,Not Flood Prone
BADURPUR CULVERT,2.0,Moderate River Flooding
BAG BAYAL,4.0,Severe Flash Flooding
BAG SHATRA SLAB CULVERT,0.0,Not Flood Prone
BAGADARIYAN,0.0,Not Flood Prone
